ID,SMILES
1,C1(C2=NN(C3=CC=CC4=C3C=CC=C4)N=C2)=CC=CC=C1
2,O=C(C1=CC=CC=C1)C2=NN(C3=CC=CC=C3)N=C2C4=CC=CC=C4
3,C1(C2=NN(C3=NC=CC=C3)N=C2)=CC=CC=C1
4,FC(C=C1)=CC=C1C2=NN(C3=CC=C(F)C=C3)N=C2
5,O=C(OCC)C1=NN(N=C1C2=CC=CC=C2)C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3
6,CC(C)C(C=CC=C1C(C)C)=C1N2C=CN(C3=C(C(C)C)C=CC=C3C(C)C)B2C4=CC=CC=C4
7,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(F)C=C3)N=C2
8,OCC(C)N1CC2=C(N3C=CC(C4=CC=CC=C4)=CC3=C2C5=CC=CS5)C1=O
9,FC(C=C1)=CC=C1N2N=C(C=N2)C3=CC=C(OC)C=C3
10,ClC(C=C1)=CC=C1C2=NN(C3=CC=C(Cl)C=C3)N=C2
